TIMESTAMP,DSWRF_SFC_0000,DSWRF_SFC_0001,DSWRF_SFC_0002,DSWRF_SFC_0003,DSWRF_SFC_0004,DSWRF_SFC_0005,DSWRF_SFC_0006,DSWRF_SFC_0007,DSWRF_SFC_0008,DSWRF_SFC_0009,DSWRF_SFC_0010,DSWRF_SFC_0011,DSWRF_SFC_0012,DSWRF_SFC_0013,DSWRF_SFC_0014,DSWRF_SFC_0015,DSWRF_SFC_0016,DSWRF_SFC_0017,DSWRF_SFC_0018,DSWRF_SFC_0019,DSWRF_SFC_0020,DSWRF_SFC_0021,DSWRF_SFC_0022,DSWRF_SFC_0023,DSWRF_SFC_0024,TCC_EATM_0000,TCC_EATM_0001,TCC_EATM_0002,TCC_EATM_0003,TCC_EATM_0004,TCC_EATM_0005,TCC_EATM_0006,TCC_EATM_0007,TCC_EATM_0008,TCC_EATM_0009,TCC_EATM_0010,TCC_EATM_0011,TCC_EATM_0012,TCC_EATM_0013,TCC_EATM_0014,TCC_EATM_0015,TCC_EATM_0016,TCC_EATM_0017,TCC_EATM_0018,TCC_EATM_0019,TCC_EATM_0020,TCC_EATM_0021,TCC_EATM_0022,TCC_EATM_0023,TCC_EATM_0024,VIS_SFC_0000,VIS_SFC_0001,VIS_SFC_0002,VIS_SFC_0003,VIS_SFC_0004,VIS_SFC_0005,VIS_SFC_0006,VIS_SFC_0007,VIS_SFC_0008,VIS_SFC_0009,VIS_SFC_0010,VIS_SFC_0011,VIS_SFC_0012,VIS_SFC_0013,VIS_SFC_0014,VIS_SFC_0015,VIS_SFC_0016,VIS_SFC_0017,VIS_SFC_0018,VIS_SFC_0019,VIS_SFC_0020,VIS_SFC_0021,VIS_SFC_0022,VIS_SFC_0023,VIS_SFC_0024,time_of_day_cos,time_of_day_sin,time_of_year_cos,time_of_year_sin,SOLARRADIATION_0003
'2018-04-01 12:00:00+00:00',137.199997,301.300018,524,715,856.131226,936.188904,947.497131,888.500061,764.095642,576,363,141,0,0,0,0,0,0,0,0,0,0,0,0,81.900002,0,0,0,0,0,0,0,2,2,12,10,10,0,0,0,0,0,0,11,66,100,100,68,4,0,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-1,-0,-0.192452,0.981306,675.4
'2018-04-01 18:00:00+00:00',937.032959,889.09375,764.765808,586.24292,373,139,0,0,0,0,0,0,0,0,0,0,0,0,75.800003,297,521,713,854,889.115601,912.01709,0,0,0,0,0,1,0,0,1,0,0,0,45,49,50,54,43,35,27,14,5,0,0,33,56,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-0,-1,-0.196673,0.980469,569.6
'2018-04-02 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,81.599998,282.300018,501,700,801.25824,934.219971,874.840332,898.056213,686.715454,575.146973,372,133,0,0,0,0,0,0,0,0,0,1,0,0,12,0,32,34,25,84,19,73,0,30,19,6,0,0,24119.47852,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,1,-0,-0.200891,0.979614,0
'2018-04-02 06:00:00+00:00',0,0,0,0,0,0,78.700005,301,510,627,807.080688,887.233398,833.642456,815.132935,705.34137,567.771179,350,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,86,58,67,100,91,95,39,35,23,13,0,0,0,7,21,48,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,0,1,-0.205104,0.97874,0
'2018-04-02 12:00:00+00:00',138.5,301.200012,494,674,855,916.59967,858.613037,750.397339,725.019226,519.479919,293,140,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,54,100,100,53,82,63,20,0,0,0,0,4,19,11,19,8,59,65,100,100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,18700,18300,-1,0,-0.209315,0.977848,544.1
'2018-04-02 18:00:00+00:00',891.083496,891,766.17456,583.642151,377,148,0,0,0,0,0,0,0,0,0,0,0,0,11.1,118.800003,203,296,362.538391,420.296936,553.688171,0,0,3,0,1,0,0,0,0,2,26,61,36,45,62,77,100,100,100,93,93,93,66,59,54,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,17700,18100,18600,24100,24100,0,-1,-0.213521,0.976938,604
'2018-04-03 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,59.299999,91.200005,124,198,273.381683,590.505432,919.929565,284.797363,700.160706,487,363,115,0,0,0,0,0,0,11,0,0,0,0,6,17,62,93,100,100,100,70,25,72,6,45,0,43,32,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,1,0,-0.217723,0.976011,0
'2018-04-03 06:00:00+00:00',0,0,0,0,0,0,16.6,61.299999,119,198,270.012115,494.138184,916.983215,868.040894,711.762329,252.144196,365,33,0,0,0,0,0,0,0,0,2,0,1,2,50,100,100,100,100,100,100,4,1,3,56,18,59,2,14,0,0,0,0,0,24100,24100,24100,24100,24100,24100,100,3100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,0,1,-0.221922,0.975065,0
'2018-04-03 12:00:00+00:00',36,75,162,187,230,384.211609,664.100342,844.318298,634.001831,254,314,143,0,0,0,0,0,0,0,0,0,0,0,0,5.3,93,100,100,100,100,100,99,18,21,63,44,0,12,17,28,7,0,0,17,23,58,100,100,100,100,22100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,22900,24000,5700,-1,0,-0.226116,0.9741,505.6
'2018-04-03 18:00:00+00:00',906.896545,780.97876,665.181641,508.042175,314,75,0,0,0,0,0,0,0,0,0,0,0,0,7.7,46.400002,257,424,763.415405,835.449158,811.938232,4,32,30,44,66,73,30,1,0,0,0,36,69,100,100,94,100,100,100,100,100,90,64,78,100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,19400,3200,24100,24100,24100,24100,24100,24100,24100,-0,-1,-0.230306,0.973118,450.4
'2018-04-04 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,5.4,77.200005,306,294,457,867.291443,992,931.322266,802,620.001648,402,163,0,0,0,0,0,0,93,100,100,100,100,100,65,100,100,100,100,100,100,3,0,0,0,0,0,0,24100,24100,24100,24100,24100,24100,24100,24100,24100,15800,8800,13200,8000,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,1,-0,-0.234491,0.972118,0
'2018-04-04 06:00:00+00:00',0,0,0,0,0,0,5.1,30.800001,81,374,397,459.121765,837.257324,809.172729,803.214172,620.068603,401,163,0,0,0,0,0,0,0,4,100,100,100,100,100,95,100,94,93,100,100,87,83,0,0,0,0,0,0,0,0,0,0,0,24100,24100,24100,21700,3600,24100,23600,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-0,1,-0.238673,0.9711,0
'2018-04-04 12:00:00+00:00',21,60,140,518,749,967.111511,742.526062,821.160828,802.036377,617.577148,398,161,0,0,0,0,0,0,0,0,0,0,0,0,102.900002,100,100,100,95,78,17,100,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-1,0,-0.24285,0.970064,476.5
'2018-04-04 18:00:00+00:00',823.00415,633.003662,803.936462,621,401,162,0,0,0,0,0,0,0,0,0,0,0,0,103.400002,333.600006,560,754,895.334045,975.530151,985.292541,100,100,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-0,-1,-0.247022,0.96901,602.6
'2018-04-05 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,104.200005,334.899994,562,757,899.103027,979.715332,988.785522,926.748718,786.471435,565.927673,252,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,62,99,100,100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,1,-0,-0.25119,0.967938,0.4
'2018-04-05 06:00:00+00:00',0,0,0,0,0,0,103.5,333.899994,561,754,896,976.023804,985.81958,924.65979,793.967407,586.012878,284,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,41,85,96,22,6,38,28,2,0,1,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,0,1,-0.255353,0.966848,0
'2018-04-05 12:00:00+00:00',165.900009,335,562,755,896,976,984.099487,922.275757,787.431335,548.071777,300,109,0,0,0,0,0,0,0,0,0,0,0,0,99.300003,0,0,0,0,0,0,0,1,12,74,99,100,100,58,36,2,0,0,28,100,100,100,78,91,26,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-1,0,-0.259512,0.96574,697.8
'2018-04-05 18:00:00+00:00',977.48291,926.564514,798.004334,615,348,111,0,0,0,0,0,0,0,0,0,0,0,0,22.4,54,101,429,453,671.352173,817.098144,0,0,0,3,54,98,69,62,19,9,6,60,90,8,0,0,1,25,90,100,94,54,48,100,59,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,0,-1,-0.263665,0.964614,551.6
'2018-04-06 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,100.700005,321.800018,541,716,857,723.253113,929.347717,682.491699,747.213867,385.469299,214,113,0,28,13,4,0,0,0,0,0,0,0,11,35,10,3,2,15,17,100,23,97,40,100,96,73,31,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,1,-0,-0.267814,0.963471,1.15
'2018-04-06 06:00:00+00:00',0,0,0,0,0,0,83.099998,88.900002,103,168,254,544.088318,898.086243,780.677124,568.450745,341.067627,263.727631,130,0,0,0,0,0,0,0,0,0,0,0,0,13,46,79,97,98,99,89,59,100,100,100,90,31,12,31,18,97,100,87,100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,0,1,-0.271958,0.962309,0
'2018-04-06 12:00:00+00:00',158.400009,320.300018,535,722,866,898.584778,736.558044,775.524353,626.098938,400.546692,264.949799,131,0,0,0,0,0,0,0,0,0,0,0,0,8.2,2,1,0,0,0,47,74,100,100,100,59,66,27,59,57,70,45,100,100,100,100,100,100,100,100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24000,8000,8700,6500,-1,0,-0.276097,0.96113,290.4
'2018-04-06 18:00:00+00:00',941,890.374207,766.867554,584.118774,287,151,0,0,0,0,0,0,0,0,0,0,0,0,9.7,30.5,63,106,83.12323,119,145.692398,0,0,1,0,12,10,0,35,90,100,100,100,100,64,85,100,100,100,100,100,100,100,100,100,100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,12400,24100,24100,24100,7500,23800,24100,24100,24100,-0,-1,-0.280231,0.959933,494.7
'2018-04-07 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,3.9,43.700001,45,61,390.428223,385.846466,370.305603,506.00473,672.533447,163,67.912323,92,0,33,14,37,23,37,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,52,93,100,95,100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,15900,8100,11600,23300,5800,24100,24100,24100,24100,24100,24100,24100,24100,24100,1,0,-0.284359,0.958718,0
'2018-04-07 06:00:00+00:00',0,0,0,0,0,0,19.1,8.1,35,60,74.332146,251.668991,216.781296,224.963791,194.923172,295.416382,325,152,0,0,0,0,0,0,0,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,70,12,62,100,58,100,99,70,97,24100,24100,24100,23300,24100,24100,7100,7200,19000,24100,22500,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-0,1,-0.288482,0.957485,0.19
'2018-04-07 12:00:00+00:00',17.200001,57.5,66,62,280.0578,299.724579,525.306885,784.598084,637.252197,348.136414,157,139,0,0,0,0,0,0,0,0,0,0,0,0,25.800001,100,100,100,100,100,100,92,75,68,100,100,47,7,41,100,100,68,12,1,0,2,0,20,50,85,7500,24100,23800,16700,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,15200,22100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-1,0,-0.2926,0.956235,83.3
